"Date","Price","Open","High","Low","Vol.","Change %"
"10/06/2023","42,772","43,161","43,190","42,700","0.15K","-0.45%"
"10/05/2023","42,964","42,918","43,315","42,906","0.19K","1.11%"
"10/04/2023","42,493","42,374","42,593","42,056","0.71K","0.10%"
"10/03/2023","42,450","42,625","43,181","42,625","1.56K","-1.16%"
"10/02/2023","42,949","42,428","42,829","42,428","0.70K","1.52%"
"09/29/2023","42,307","42,374","43,595","41,955","0.38K","-0.13%"
"09/28/2023","42,361","42,799","42,855","42,274","0.29K","-0.43%"
"09/27/2023","42,545","42,524","42,851","42,460","0.19K","0.50%"
"09/26/2023","42,332","42,490","42,757","42,416","1.22K","0.12%"
"09/22/2023","42,283","42,620","42,620","42,054","1.10K","-1.17%"
"09/21/2023","42,783","43,151","43,151","42,738","0.07K","-1.25%"
"09/20/2023","43,326","43,853","43,947","43,638","0.64K","-0.21%"
"09/19/2023","43,419","44,047","44,054","43,620","0.94K","-0.97%"
"09/18/2023","43,846","44,700","442,159","43,672","7.84K","-0.84%"
"09/15/2023","44,219","44,000","44,746","44,000","0.60K","0.56%"
"09/14/2023","43,971","43,850","44,000","43,629","0.28K","0.96%"
"09/13/2023","43,551","44,051","44,390","43,925","0.16K","-0.89%"
"09/12/2023","43,944","44,128","44,141","43,814","0.26K","0.32%"
"09/11/2023","43,805","44,944","45,000","43,564","0.60K","-1.11%"
"09/08/2023","44,297","44,360","44,360","43,909","0.17K","0.33%"
"09/07/2023","44,153","44,615","44,662","44,194","0.35K","-1.09%"
"09/06/2023","44,641","44,507","45,182","44,507","0.37K","-0.86%"
"09/05/2023","45,030","44,991","45,592","44,607","0.62K","0.94%"
"09/04/2023","44,612","43,848","44,806","43,848","0.95K","1.59%"
"09/01/2023","43,913","44,212","44,212","43,711","3.24K","-0.95%"
"08/31/2023","44,336","43,976","44,000","43,598","0.31K","2.38%"
"08/30/2023","43,307","43,426","43,470","43,033","0.78K","1.06%"
"08/29/2023","42,854","42,351","42,932","42,260","2.66K","1.00%"
"08/28/2023","42,429","43,558","43,558","41,022","0.58K","-0.04%"
"08/25/2023","42,447","42,820","42,820","42,411","3.18K","-0.71%"
"08/24/2023","42,752","44,000","44,000","42,882","0.09K","0.79%"
"08/23/2023","42,416","42,878","43,000","42,320","0.53K","-0.77%"
"08/22/2023","42,745","43,234","43,263","42,608","0.91K","-0.82%"
"08/21/2023","43,098","43,250","43,378","43,250","0.37K","0.60%"
"08/18/2023","42,841","43,325","43,325","42,961","3.07K","-1.50%"
"08/17/2023","43,494","42,320","43,858","42,320","0.22K","-0.92%"
"08/16/2023","43,899","44,900","44,900","44,079","0.22K","-0.51%"
"08/15/2023","44,123","44,500","44,799","44,250","0.47K","-0.25%"
"08/14/2023","44,234","43,800","44,184","43,000","0.27K","1.36%"
"08/11/2023","43,639","42,600","43,808","42,600","0.11K","-0.03%"
"08/10/2023","43,652","44,100","44,168","43,500","0.40K","-0.62%"
"08/08/2023","43,923","43,500","44,090","43,500","0.24K","1.08%"
"08/07/2023","43,455","43,273","43,500","43,040","0.67K","0.69%"
"08/04/2023","43,158","43,923","43,952","42,953","0.63K","-0.93%"
"08/03/2023","43,563","43,412","43,597","43,033","0.44K","0.23%"
"08/02/2023","43,461","43,091","43,620","43,020","2.05K","0.86%"
"08/01/2023","43,091","42,595","43,167","42,525","0.31K","2.18%"
"07/31/2023","42,173","41,993","42,362","41,663","0.28K","0.90%"
"07/28/2023","41,797","42,314","42,356","41,598","0.60K","-0.86%"
"07/27/2023","42,158","41,946","41,946","41,619","2.53K","1.02%"
"07/26/2023","41,733","41,840","41,955","41,496","0.58K","0.37%"
"07/25/2023","41,581","41,982","41,982","41,425","0.77K","-1.11%"
"07/24/2023","42,046","42,401","42,504","42,000","0.92K","-0.42%"
"07/21/2023","42,223","42,286","42,337","42,286","0.01K","-0.11%"
"07/20/2023","42,270","42,276","42,283","42,064","0.15K","-0.55%"
"07/19/2023","42,503","41,975","42,506","41,953","0.38K","1.57%"
"07/18/2023","41,845","42,148","42,245","41,701","0.38K","-0.98%"
"07/17/2023","42,261","41,861","42,390","41,799","0.50K","-0.03%"
"07/14/2023","42,272","41,710","42,547","41,710","0.29K","1.31%"
"07/13/2023","41,724","42,000","42,101","41,691","0.55K","-1.38%"
"07/12/2023","42,308","42,672","42,792","42,316","1.51K","-0.58%"
"07/11/2023","42,553","42,000","42,890","42,000","0.84K","-1.00%"
"07/10/2023","42,982","42,869","43,206","42,451","1.19K","-0.34%"
"07/07/2023","43,127","43,479","43,829","43,134","6.75K","-0.43%"
"07/06/2023","43,312","43,188","43,480","42,984","1.39K","-0.01%"
"07/05/2023","43,315","43,362","43,362","42,858","0.56K","0.89%"
"07/04/2023","42,933","43,225","43,331","42,704","0.85K","-0.40%"
"07/03/2023","43,106","42,000","43,480","42,000","0.45K","-0.43%"
"06/30/2023","43,293","43,500","43,500","42,794","0.61K","1.61%"
"06/29/2023","42,608","43,500","43,500","42,480","0.47K","-0.27%"
"06/28/2023","42,722","42,189","42,522","42,000","1.25K","2.74%"
"06/27/2023","41,584","41,318","41,688","41,318","13.45K","-0.87%"
"06/26/2023","41,947","43,500","43,500","41,793","0.35K","-0.57%"
"06/23/2023","42,188","42,257","42,257","42,048","0.33K","1.34%"
"06/22/2023","41,632","41,475","41,644","41,114","0.22K","0.51%"
"06/21/2023","41,420","41,906","41,906","41,498","7.43K","-0.43%"
"06/20/2023","41,597","41,194","41,910","41,194","0.10K","0.48%"
"06/19/2023","41,398","41,600","41,678","41,157","0.71K","-0.44%"
"06/15/2023","41,582","41,689","41,689","41,332","0.81K","0.42%"
"06/14/2023","41,410","41,800","42,090","41,800","0.45K","-1.12%"
"06/13/2023","41,877","41,700","42,116","41,534","0.43K","1.49%"
"06/12/2023","41,264","41,842","41,842","41,106","1.35K","-1.05%"
"06/09/2023","41,700","41,965","41,965","41,784","0.19K","-0.06%"
"06/08/2023","41,724","42,182","42,182","41,600","0.38K","-1.05%"
"06/07/2023","42,165","42,876","42,876","42,283","1.07K","-0.92%"
"06/06/2023","42,556","42,622","42,653","42,214","0.26K","-0.23%"
"06/05/2023","42,653","43,221","43,293","42,459","0.43K","-0.52%"
"06/02/2023","42,878","44,000","44,000","42,422","0.67K","0.66%"
"06/01/2023","42,598","43,291","43,291","42,765","0.43K","0.07%"
"05/31/2023","42,568","43,000","43,155","42,726","1.47K","-1.11%"
"05/30/2023","43,046","43,245","43,389","43,000","2.99K","0.72%"
"05/29/2023","42,738","41,231","43,776","41,231","1.88K","0.52%"
"05/26/2023","42,519","42,481","42,481","41,913","0.27K","1.42%"
"05/25/2023","41,924","41,378","42,000","41,378","0.66K","2.78%"
"05/24/2023","40,792","41,400","41,400","40,908","0.52K","-1.68%"
"05/23/2023","41,488","41,473","41,915","41,386","0.20K","-0.49%"
"05/22/2023","41,693","42,119","42,119","41,495","0.76K","-1.49%"
"05/19/2023","42,324","41,693","42,247","41,693","0.11K","1.20%"
"05/18/2023","41,823","41,745","41,894","41,488","0.07K","1.87%"
"05/17/2023","41,056","39,240","41,417","39,240","0.70K","1.27%"
"05/16/2023","40,542","40,606","41,012","39,321","0.32K","0.04%"
"05/15/2023","40,524","40,943","41,036","40,567","0.32K","-1.33%"
"05/12/2023","41,069","40,902","41,870","40,902","0.20K","0.65%"
"05/11/2023","40,802","40,789","40,900","40,628","0.09K","1.71%"
"05/10/2023","40,117","39,950","40,126","39,724","0.50K","1.55%"
"05/09/2023","39,505","39,200","39,606","38,200","0.47K","0.80%"
"05/08/2023","39,191","40,000","40,244","37,902","0.26K","-0.40%"
"05/05/2023","39,350","40,000","40,000","38,655","0.11K","2.65%"
"05/04/2023","38,336","38,398","38,767","38,398","0.13K","-1.25%"
"05/03/2023","38,821","40,000","40,000","39,005","0.16K","-0.89%"
"05/02/2023","39,171","39,500","39,707","39,309","0.90K","-0.35%"
