"Date","Price","Open","High","Low","Vol.","Change %"
"06/19/2023","7,308","7,135","7,399","7,135","239.38K","-0.69%"
"06/15/2023","7,359","7,335","7,360","7,254","386.15K","0.51%"
"06/14/2023","7,322","7,389","7,389","7,300","106.62K","0.12%"
"06/13/2023","7,313","7,389","7,389","7,231","165.12K","2.07%"
"06/12/2023","7,165","7,200","7,259","7,150","172.62K","-0.97%"
"06/09/2023","7,235","7,280","7,280","7,188","57.74K","0.04%"
"06/08/2023","7,232","7,293","7,293","7,209","60.86K","-0.34%"
"06/07/2023","7,257","7,277","7,285","7,131","162.31K","0.61%"
"06/06/2023","7,213","7,220","7,225","7,160","119.95K","-0.11%"
"06/05/2023","7,221","7,260","7,377","7,190","418.75K","-0.74%"
"06/02/2023","7,275","7,200","7,313","7,200","123.33K","2.06%"
"06/01/2023","7,128","7,170","7,181","7,064","714.06K","0.79%"
"05/31/2023","7,072","7,100","7,177","7,032","122.47K","-1.23%"
"05/30/2023","7,160","7,200","7,278","7,168","131.53K","-0.82%"
"05/29/2023","7,219","7,187","7,249","7,177","208.69K","0.26%"
"05/26/2023","7,200","7,219","7,219","7,098","96.46K","0.40%"
"05/25/2023","7,171","7,213","7,217","7,056","286.86K","1.01%"
"05/24/2023","7,099","7,200","7,220","7,100","74.25K","-1.66%"
"05/23/2023","7,219","7,399","7,399","7,215","121.45K","-1.70%"
"05/22/2023","7,344","7,400","7,400","7,317","116.23K","-0.35%"
"05/19/2023","7,370","7,360","7,390","7,309","188.91K","0.82%"
"05/18/2023","7,310","7,477","7,477","7,260","298.64K","-0.81%"
"05/17/2023","7,370","7,342","7,383","7,222","139.47K","0.38%"
"05/16/2023","7,342","7,228","7,475","7,200","151.04K","-0.39%"
"05/15/2023","7,371","7,475","7,475","7,322","91.78K","0.42%"
"05/12/2023","7,340","7,380","7,459","7,309","213.27K","1.69%"
"05/11/2023","7,218","7,325","7,338","7,202","61.83K","-1.25%"
"05/10/2023","7,309","7,375","7,388","7,256","60.33K","0.22%"
"05/09/2023","7,293","7,365","7,365","7,264","299.67K","-0.98%"
"05/08/2023","7,365","7,350","7,398","7,295","91.73K","0.77%"
"05/05/2023","7,309","7,440","7,440","7,209","51.89K","1.02%"
"05/04/2023","7,235","7,450","7,450","7,201","43.68K","-1.07%"
"05/03/2023","7,313","7,474","7,474","7,250","192.71K","0.72%"
"05/02/2023","7,261","7,252","7,479","7,226","103.62K","-0.83%"
"04/28/2023","7,322","7,480","7,480","7,222","48.71K","0.12%"
"04/26/2023","7,313","7,450","7,450","7,219","419.66K","0.37%"
"04/25/2023","7,286","7,399","7,399","7,263","212.01K","-0.46%"
"04/24/2023","7,320","7,300","7,365","7,293","208.89K","0.37%"
"04/21/2023","7,293","7,350","7,362","7,272","42.78K","-1.49%"
"04/20/2023","7,403","7,345","7,428","7,269","333.90K","0.19%"
"04/19/2023","7,389","7,499","7,499","7,323","84.15K","-1.06%"
"04/18/2023","7,468","7,390","7,497","7,199","185.99K","1.08%"
"04/17/2023","7,388","7,450","7,453","7,372","537.76K","-0.26%"
"04/14/2023","7,407","7,302","7,447","7,302","229.26K","0.60%"
"04/13/2023","7,363","7,240","7,398","7,163","270.66K","0.97%"
"04/12/2023","7,292","7,160","7,346","7,160","49.90K","-0.25%"
"04/11/2023","7,310","7,395","7,395","7,177","115.59K","1.22%"
"04/06/2023","7,222","7,297","7,297","7,175","42.97K","0.50%"
"04/05/2023","7,186","7,254","7,345","7,161","62.43K","-0.94%"
"04/04/2023","7,254","7,110","7,397","7,100","210.51K","1.26%"
"04/03/2023","7,164","7,000","7,201","6,800","294.09K","0.69%"
"03/31/2023","7,115","7,249","7,249","7,092","103.07K","-0.79%"
"03/30/2023","7,172","7,248","7,250","7,140","1.55M","0.53%"
"03/29/2023","7,134","7,224","7,224","7,090","188.42K","0.71%"
"03/28/2023","7,084","6,822","7,148","6,822","85.09K","0.67%"
"03/27/2023","7,037","7,086","7,086","6,953","1.16M","1.14%"
"03/24/2023","6,958","7,242","7,242","6,892","185.20K","-1.23%"
"03/23/2023","7,045","7,001","7,075","6,989","106.28K","0.37%"
"03/22/2023","7,019","6,997","7,023","6,807","108.10K","1.87%"
"03/20/2023","6,890","6,948","6,948","6,655","104.35K","2.27%"
"03/17/2023","6,737","6,800","6,941","6,716","168.67K","-0.52%"
"03/16/2023","6,772","6,995","6,995","6,717","115.50K","0.19%"
"03/15/2023","6,759","6,850","7,025","6,735","234.93K","-2.92%"
